City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Namatanai,PG,2021-08-07 02:49:03,-3.6667,152.4333,81.57,80,84,10.45,light rain
167,Batagay,RU,2021-08-07 02:44:38,67.6333,134.6333,74.79,26,12,4.85,few clouds
168,Maryborough,AU,2021-08-07 02:49:04,-25.5333,152.7,73.81,38,56,2.73,broken clouds
169,Arlit,NE,2021-08-07 02:49:04,18.7369,7.3853,90.9,31,34,6.2,scattered clouds
170,Alekseyevka,RU,2021-08-07 02:49:05,50.6309,38.6903,71.58,42,79,9.06,broken clouds
171,Cayenne,GF,2021-08-07 02:44:38,4.9333,-52.3333,78.1,87,90,0.0,overcast clouds
172,Gilbues,BR,2021-08-07 02:49:05,-9.8317,-45.3439,75.18,44,2,12.17,clear sky
173,Adamovka,RU,2021-08-07 02:49:05,51.5223,59.9396,65.08,67,46,10.51,scattered clouds
174,Melhus,NO,2021-08-07 02:49:06,63.2855,10.2781,61.29,61,45,6.85,scattered clouds
175,Prince George,CA,2021-08-07 02:49:06,53.9166,-122.753,65.64,56,75,6.91,broken clouds
176,Port Hardy,CA,2021-08-07 02:42:14,50.6996,-127.4199,55.58,100,90,6.91,light rain
177,Mecca,SA,2021-08-07 02:44:39,21.4267,39.8261,86.36,44,2,4.56,clear sky
178,Kaitangata,NZ,2021-08-07 02:44:40,-46.2817,169.8464,43.65,83,100,13.24,overcast clouds
179,Vanderhoof,CA,2021-08-07 02:44:40,54.0166,-124.0198,63.1,43,98,8.34,overcast clouds
180,Rawson,AR,2021-08-07 02:49:07,-43.3002,-65.1023,55.47,42,100,18.77,overcast clouds
181,Tambura,SS,2021-08-07 02:49:07,5.6,27.4667,67.96,96,77,3.96,broken clouds
182,Fatezh,RU,2021-08-07 02:49:08,52.0891,35.8632,66.54,66,81,8.68,broken clouds
183,Berlevag,NO,2021-08-07 02:49:08,70.8578,29.0864,55.47,79,62,11.74,broken clouds
184,Ramjibanpur,IN,2021-08-07 02:49:09,22.8333,87.6167,90.12,65,68,4.38,broken clouds
185,Cam Ranh,VN,2021-08-07 02:44:41,11.9214,109.1591,94.96,43,0,4.61,clear sky
186,Kano,NG,2021-08-07 02:49:09,12.0001,8.5167,75.09,94,0,5.75,light rain
187,Havelock,US,2021-08-07 02:44:41,34.8791,-76.9013,78.94,94,94,4.65,overcast clouds
188,Port Elizabeth,ZA,2021-08-07 02:45:02,-33.918,25.5701,48.09,93,40,4.61,scattered clouds
189,Olinda,BR,2021-08-07 02:44:42,-8.0089,-34.8553,74.93,83,40,16.11,scattered clouds
190,Souillac,MU,2021-08-07 02:49:10,-20.5167,57.5167,68.38,83,20,9.22,light rain
