City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
274,Sterling,US,79.57,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
277,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
282,Funadhoo,MV,82.76,light rain,6.15,73.2667,Dhaffalhu Tourist Lodge
285,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
286,Merritt Island,US,82.45,thunderstorm,28.5392,-80.672,
292,Banjar,ID,80.46,few clouds,-8.19,114.9675,The Hamsa Resort
293,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
296,Timizart,DZ,79.79,clear sky,36.8,4.2667,yefssah restaurant
298,Genhe,CN,76.91,broken clouds,50.7833,121.5167,Companionship Hotel
300,Dharampur,IN,80.98,broken clouds,20.5333,73.1833,Motel 11
303,Nijar,ES,78.87,clear sky,36.9665,-2.206,La Casa del Cine
309,Sarkand,KZ,77.76,broken clouds,45.41,79.9186,Гостиница Сарканд
310,Sungaipenuh,ID,77.81,broken clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
314,Palma Di Montechiaro,IT,78.62,clear sky,37.1926,13.765,Daphnae House
316,Jobner,IN,80.02,overcast clouds,26.9667,75.3833,Srk Jobner Hostel
317,Totness,SR,77.36,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
319,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
320,Buraydah,SA,86.45,scattered clouds,26.326,43.975,فندق راحة السلام
321,Naze,JP,83.32,broken clouds,28.3667,129.4833,Amami Port Tower Hotel
322,Shenjiamen,CN,81.66,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
323,Kropotkin,RU,78.48,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
335,Edd,ER,88.83,scattered clouds,13.9297,41.6925,
336,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
337,Alofi,NU,78.69,clear sky,-19.0595,-169.9187,Taloa Heights
338,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
340,Itoman,JP,86.38,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
341,Shimoda,JP,82.76,light rain,34.6667,138.95,Shimoda Tokyu Hotel
346,Tefe,BR,76.78,scattered clouds,-3.3542,-64.7114,Aracati Hotel
347,Jibuti,DJ,89.02,moderate rain,11.5,42.5,Orchid Main Camp Goubet
348,Fomboni,KM,75.27,clear sky,-12.28,43.7425,Auberge les abou
350,Saint Anthony,US,78.69,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
356,Evans,US,76.21,broken clouds,33.5337,-82.1307,Donald J Kosatka
357,Komsomolskiy,UZ,81.82,broken clouds,40.4272,71.7189,Ikathouse
360,Linqiong,CN,80.42,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
362,Along,IN,78.04,overcast clouds,28.1667,94.7667,Hotel West
364,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
365,Novoshcherbinovskaya,RU,80.04,overcast clouds,46.4767,38.6476,
368,Trairi,BR,80.1,broken clouds,-3.2778,-39.2689,janelas do mar
370,Atasu,KZ,81.97,clear sky,48.6814,71.6433,Dostyk
372,Basco,PH,83.5,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
373,Gumdag,TM,89.71,clear sky,39.2061,54.5906,
374,Avera,US,75.88,few clouds,33.194,-82.5271,
376,Umm Bab,QA,89.28,clear sky,25.2142,50.8072,mike beach
379,Meulaboh,ID,83.26,overcast clouds,4.1363,96.1285,Kost Pria
380,Fukue,JP,89.96,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
381,Korla,CN,86.63,clear sky,41.7597,86.1469,Gulisitan Hotel
382,Macon,US,75.11,few clouds,39.8667,-88.9668,Haworth Cottage
383,Hithadhoo,MV,80.69,light rain,-0.6,73.0833,Scoop Guest House
384,Mayo,US,79.9,clear sky,38.8876,-76.5119,Resorts Resource Group International
385,Wahiawa,US,86.32,clear sky,21.5028,-158.0236,Aloha Wahiawa
387,Jiuquan,CN,77.61,overcast clouds,39.7432,98.5174,Jiuquan Hotel
390,Hot Springs,US,79.68,scattered clouds,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
392,Matara,LK,79.2,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
394,Willmar,US,76.59,clear sky,45.1219,-95.0433,Lakeview Inn
395,York,US,77.85,overcast clouds,40.1254,-77.0,Rodeway Inn
397,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
401,Nalut,LY,86.25,clear sky,30.3333,10.85,
402,Russell,US,79.88,scattered clouds,32.3502,-85.1999,Macs
405,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
407,Sabang,ID,82.74,broken clouds,5.8933,95.3214,Hotel Citra
409,Veraval,IN,82.38,overcast clouds,20.9,70.3667,Lords Inn Somnath
416,Jiexiu,CN,78.76,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
426,Carutapera,BR,75.45,overcast clouds,-1.195,-46.02,Lidera
430,Hamilton,US,75.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
432,Meadow Lake,US,89.08,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
433,Phuket,TH,86.22,few clouds,8.0,98.25,The Surin Phuket
436,Gallup,US,83.16,clear sky,35.5281,-108.7426,El Capitan Motel
437,Yunyang,CN,83.39,light rain,33.4474,112.7142,Post & Telecom Hotel
439,Alyangula,AU,80.47,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
442,Bengkulu,ID,83.82,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
445,Gizo,SB,82.47,scattered clouds,-8.103,156.8419,Imagination Island
448,Orange,US,86.88,few clouds,33.7,-117.7675,Meadows
449,Hede,CN,85.86,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
450,Yichun,CN,78.62,overcast clouds,47.7,128.9,锦江酒店
452,Camocim,BR,75.13,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
453,Karratha,AU,76.32,clear sky,-20.7377,116.8463,ibis Styles Karratha
454,Elko,US,77.02,clear sky,41.0002,-115.5012,
455,Manali,IN,86.09,overcast clouds,13.1667,80.2667,Sarathy Lodge
456,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
459,Borba,BR,77.34,scattered clouds,-4.3878,-59.5939,Hotel da Amazônia
461,Hasaki,JP,84.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
462,Pokhara,NP,77.99,overcast clouds,28.2333,83.9833,Butterfly Lodge
465,Pringsewu,ID,86.54,scattered clouds,-5.3582,104.9744,Urban Style by Front One
468,Baykit,RU,76.01,broken clouds,61.67,96.37,
470,Daru,PG,77.52,overcast clouds,-9.0763,143.2092,Daru Lodge
471,Kushiro,JP,79.75,fog,42.975,144.3747,Toyoko Inn Kushiro Jujigai
473,Port Moresby,PG,81.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
475,Kupang,ID,86.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
478,Jutai,BR,79.07,broken clouds,-5.1833,-68.9,
479,Fuyang,CN,86.14,light rain,32.9,115.8167,Fuyang Wanda Realm Hotel
480,Sibolga,ID,85.35,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
481,Fare,PF,78.39,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
492,Half Moon Bay,US,79.81,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
494,Jalu,LY,85.84,clear sky,29.0331,21.5482,صاحبة الفخامة
495,Almaty,KZ,75.11,scattered clouds,43.25,76.95,Holiday Inn Almaty
496,Goldsboro,US,76.17,overcast clouds,35.3849,-77.9928,Hampton Inn Goldsboro
497,Grand-Bourg,GP,80.55,clear sky,15.8835,-61.3148,Coco Beach Resort
498,Helong,CN,83.16,scattered clouds,42.5397,128.9972,Helong Hotel
499,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
504,Xunchang,CN,82.09,light rain,28.4543,104.715,Jiabin Inn
506,Honiara,SB,84.18,scattered clouds,-9.4333,159.95,Heritage Park Hotel
507,Tura,IN,75.7,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
512,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Hotel Central
514,Keita,NE,80.37,overcast clouds,14.7551,5.7749,
515,Bam,IR,88.09,clear sky,29.106,58.357,Bam Tourist Hotel
520,Semnan,IR,80.31,clear sky,35.5729,53.3971,Semnan Tourist Hotel
521,Pierre,US,79.72,clear sky,44.3683,-100.351,Ramkota Hotel
524,Boa Vista,BR,78.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
527,Edgewater,US,78.1,broken clouds,28.9889,-80.9023,Islander Beach Resort
528,Misratah,LY,81.14,clear sky,32.3754,15.0925,فندق الماسة
529,Zenzeli,RU,80.19,clear sky,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
531,Yatou,CN,82.89,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
534,Puri,IN,86.52,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
538,Sao Filipe,CV,77.14,overcast clouds,14.8961,-24.4956,Hotel Xaguate
539,Jinxiang,CN,84.56,light rain,27.4327,120.6062,Wolong Village
540,Bubaque,GW,79.72,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
543,Sola,VU,78.8,few clouds,-13.8833,167.55,Leumerus Bungalows
544,Srivardhan,IN,82.49,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
545,Porbandar,IN,83.21,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
547,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
548,Pacific Grove,US,77.2,few clouds,36.6177,-121.9166,Lovers Point Inn
549,Yellandu,IN,82.36,overcast clouds,17.6,80.3333,Chekuri Satyanarayana
